Gesture,Point1,Point2,Point3,Point4,Point5,Point6,Point7,Point8,Point9,Point10,Point11,Point12,Point13,Point14,Point15,Point16,Point17,Point18,Point19,Point20,Point21,Point22,Point23,Point24,Point25,Point26,Point27,Point28,Point29,Point30,Point31,Point32,Point33,Point34,Point35,Point36,Point37,Point38,Point39,Point40,Point41,Point42,Point43,Point44,Point45,Point46,Point47,Point48,Point49,Point50,Point51,Point52,Point53,Point54,Point55,Point56,Point57,Point58,Point59,Point60,Point61,Point62,Point63,Point64
arrow,36.0677528994591,34.8636812376069,33.1464257532605,31.4737610810945,29.8512814854468,28.3059176492151,26.8927001986344,25.547560718041,24.2253754730844,22.9237739667474,21.6748432931466,20.5046525416909,19.3956158155471,18.3538485319559,17.3972196254698,16.5549951762132,15.8155193031872,15.1432057400071,14.54439590842,14.0145874240796,13.5876669494521,13.3037601408864,13.1979966262561,13.2587897087716,13.5252540043629,14.055435812156,14.4352137606022,14.6984812121241,15.0940802975935,15.4597820694736,16.0207076575872,16.011182326106,15.3460515383078,16.2987713095374,19.3822401338636,23.6993931777394,26.6623802947714,27.772955359601,29.4135984252024,30.4714720825958,30.394260737194,28.9996112520659,26.013760346715,21.9219068254489,18.9913982746033,17.4640611445596,16.2280300621093,15.4448365551202,15.2978791728378,15.2040384800549,15.1813914001952,15.3413795802348,15.944531693053,16.4789184664189,16.9124013896401,18.2334564387207,19.0915109522555,19.63170656861,19.6054725626994,19.6753848909049,19.8670850884713,20.2896296751789,20.8748907550839,21.4689385842866
caret,27.7338007104439,26.1503102969397,24.6360808928414,23.1924382601114,21.8560424262902,20.8262456780464,19.8104524901912,18.700116277552,17.670126621009,16.9109073757026,16.2867129905295,15.7750248170332,15.3378991044026,15.0235571095357,14.5681819333183,14.1799573262485,13.9484419092927,13.9203554796793,13.9265329368622,13.8961883752733,13.9773370925473,13.9739416597092,14.0449086540912,14.4711157060626,15.0170242427575,15.4051134264118,15.9691394940252,16.7144151700787,17.2787352562932,17.6514527050729,18.258790907209,18.2796765825801,16.6611632152719,15.863692011441,14.6436967690144,13.7522604841382,13.0670488450836,12.6172017883776,12.4331435355792,12.3801294537385,12.3771533895889,12.4663243752163,12.6330555726278,12.8887557621388,13.1982652868133,13.6116534195572,14.0982109430757,14.6353433113539,15.2046210219686,15.8098868161686,16.4526934741949,17.1125478391976,17.7803721426171,18.4375640142525,19.0945492602802,19.7823878078005,20.529118442714,21.3013986211192,22.0791279051057,22.8552945022698,23.6264068423195,24.4140240417463,25.2044963203088,25.9190249097218
check,20.9462213110915,20.5946088255175,20.5571824781099,20.2862444063394,20.1186973155567,19.9413531504004,19.8033309403225,19.6954840184265,19.6442849470328,19.545232004059,19.4293739569717,19.2011988317327,18.7799291997144,18.2469900163358,17.7391005896447,17.5278512880471,17.5341476972554,17.4299563808517,17.1308559158764,16.6490271122935,16.0812917252566,15.3582223987448,14.6390423755457,13.949902904664,13.1295612528833,12.149519480736,11.163108601281,10.1893228137427,9.23852180816353,8.33984854102782,7.51148697107581,6.78840300778215,6.2544259453331,5.94559357980044,5.83821840044876,5.94510027385799,6.25067560195823,6.6071581233767,7.0060227797428,7.5406270568751,8.10044504146172,8.76259625035634,9.52254082884306,10.3473760914031,11.1775918701575,11.9149746711048,12.6690481144587,13.4140949082348,14.1389805727663,14.9110360440292,15.7406318909746,16.5696524278252,17.4190233045443,18.2919549885472,19.1624996966246,20.0530670902804,20.9598006031142,21.8386883303958,22.7470808054056,23.6353402358754,24.4871791322376,25.312287639772,25.9336076303808,26.238724075459
circle,31.998980825855,31.4276301092291,31.2047971771828,31.2181855956024,30.9299998544603,30.8171680809948,30.5991786325433,30.5428792738862,30.5030528931321,30.6476654273413,30.9792180158321,31.4060580533365,31.9221575235503,32.4657798716051,32.9894506393237,33.3360369311004,33.6874484776052,33.8816639447602,33.8982510451761,33.7188879842977,33.4326658991018,33.3195127727059,33.1393137633821,33.0662912628317,33.0596380930866,32.9646384579819,32.7322957839595,32.5673886498931,32.4191897455952,32.2343018720367,31.8018320984909,31.2411667614264,30.8845984591314,30.5998171391648,30.3481774126065,30.1685948655611,30.1926776959872,30.4149143695836,30.7300943952958,31.0325327450187,31.2775814666068,31.7343932944247,32.1946868194047,32.6311972225147,33.1014604478056,33.5895522404987,34.0121936450594,34.3144402028564,34.3539670105249,34.2926590499771,34.0500103281621,33.8179054819054,33.634879184212,33.275517827241,32.8563089493166,32.2315372110606,31.7852542252566,31.0109635798053,30.375195111561,29.7270820357039,29.3222560593685,28.8998468619305,28.6880196141912,28.6182351897741
delete mark,20.7714000965813,18.8668191474116,17.5522048216078,16.3607905194139,15.4188060838419,14.2563381656822,13.3272265280426,12.4336969289124,11.5975909120393,11.1436233259559,10.9425357746537,11.0107682505038,11.1646341300039,11.353188539744,11.7498388113518,12.2565067275122,12.8641634983005,13.5746353987564,14.3633609748649,15.207924446137,16.0009981930217,16.9874471495536,18.6324415214141,19.6083644839487,20.9479543375468,21.1313757908605,20.8264157281184,20.6992508061276,20.3384429466089,19.998927409308,19.6704133608769,19.338433152874,19.1227183680571,19.0039683529924,18.9004737061856,18.6559516894697,18.2354969668658,17.9318241097208,19.3413503364676,18.7820592486748,18.2192755196734,17.9655180635521,17.649419258463,17.0055444296336,16.3201991690913,15.6472544169284,15.2752358436097,15.1640433683903,15.0408851359317,14.67982746015,14.7551391742001,15.0091458422374,15.4423593478877,15.9940188083711,16.7153442242913,17.5309948225112,18.4858116012193,19.5811038546505,20.7998038512774,22.0468935948816,23.3699751861849,24.6210003486571,25.957610467727,26.818690702083
left curly brace,21.1738620630935,20.3995259308019,19.4400347742799,18.4614454532334,17.7385033363484,17.2788813883794,16.9139827327386,16.6235317647507,16.3961060227171,16.313076777374,16.4216691625961,16.2228431517165,15.9236441597265,15.2508340977652,14.8857093971813,14.6572848080659,14.187302927039,13.761349010268,13.3475732059681,12.9689052339522,12.5833674972674,12.180661815539,11.7272694983954,11.3068065823724,10.8307932575817,10.365887677901,10.0842539160849,10.1280015422873,10.9918607023805,12.0437316311125,13.2101075319187,14.256454720425,13.2940850502395,12.1846840831383,12.4434287119732,13.5091653278164,13.8428007892509,13.8721042439483,12.9614546856164,12.3746124116622,12.3783965832274,11.628060366557,11.5187217780544,11.5686454536383,11.5271782494847,11.7307719706378,12.0006677690345,12.327012431281,12.6335759753625,13.1417795732718,13.6964834841096,14.3276255862037,14.8626901207886,15.1831869886223,15.6239691863894,16.1526503027689,16.6919545444908,17.3317753281764,18.1011605206981,18.8925274522952,19.7338583157821,20.5043661541528,21.2750865846324,22.084166834173
left sq bracket,16.0226979072775,15.3179586509881,14.8171170011507,14.4583247005795,14.2445123432213,14.0826970658561,13.9107714890045,13.7603154743762,13.681071504898,13.3923161127823,12.9119934470773,12.1877977177302,11.2260735439931,10.5918291992527,10.2036729635357,9.6487833740202,9.25030455449033,8.96616375669072,8.56307540422172,8.1523258903147,7.78487951620732,7.43350078245456,7.09351360468757,6.77324428469473,6.47401913091383,6.23804439502618,6.05382500308229,5.83379196611232,5.65103976073133,5.5190999168795,5.42448181606696,5.35274445717699,5.34775399968038,5.4174743110094,5.58645122926775,5.79434926517576,6.1327329297567,6.4706240004014,6.7819495542166,7.08321777998542,7.37164678176621,7.55181314305178,7.69173235738332,7.88184342049224,8.34443712618007,9.1162050195769,9.45811649044561,9.62059341013522,10.2965103153852,11.1353141956753,12.4617268210982,13.4371153323882,13.991515123929,14.3248745276003,14.489545304809,14.5718471704504,14.6895838697768,14.8616850271591,15.1172313641207,15.2848444282656,15.5440603843516,15.9289609715194,16.3343613734817,16.9955314721215
pigtail,26.8874639321153,25.3856653083504,24.3999032628733,23.7142003446598,22.4398067834561,20.8898572747078,19.3977286924881,17.6243362410619,16.8857320161109,16.091543136061,15.2050745639361,14.453280801243,13.5719676075669,12.924310689968,12.5593211199999,12.0918098035575,12.4679238365745,12.4891532097422,12.5149299456091,12.8676178330608,13.5278263779513,14.5186563532969,15.4360968270404,16.510368917369,17.4454128055757,18.3944634377726,19.196245192109,19.9571829250117,20.5557041910807,21.5058375728922,22.5049903541723,23.287462711985,23.4672506957658,23.8531300470951,23.8041876248224,23.0310452616926,22.6343784062412,22.1763924407513,20.5261491451074,18.9545176639764,17.6932683469804,16.5235053698426,15.5027263819364,14.7416960653663,14.0343685245922,13.7343029215075,13.5326176370504,13.5104736793029,13.7449851744917,14.0985257206113,14.7902338429493,15.6422679341483,16.5701614399588,17.6373546181025,18.8521191931511,20.4025685037501,21.7781263513046,22.5473236601413,23.7319708258539,24.6397682865988,25.6128422642587,26.4189319866438,27.0473687942136,27.5343854658107
rectangle,18.387170551507,17.4093486916817,16.6351120878937,16.0746927827002,15.6271277605014,15.2726451238073,15.1099615276681,15.1401314613925,15.2767388923599,15.6400091204224,16.1981558007921,16.7954236076154,17.2877275882327,17.9527018246838,18.5205605387547,18.4145824022256,16.8279229793981,15.2766261093831,14.2147742839825,13.9080588739123,13.6506264216261,13.2929299319439,13.0761913997629,13.0920421175232,13.2118404228003,13.4913441288957,13.923863259965,14.5287900317277,15.2116230585806,15.9203803832057,16.1474929702512,16.4231384659807,17.9863251526448,20.7337699076002,21.3655637215219,21.14923613925,20.8301968895173,20.3173494596091,19.9724522314623,19.7311037913966,19.5002728641667,19.410320485273,19.3747132854217,19.4003180139432,19.6024422076946,19.734223587804,19.448485266904,18.6738320584782,17.091816383983,15.4711699292871,14.4683032585491,13.828623366414,14.0608143999501,15.2188271042468,15.7494412611955,15.8074530081892,15.2981394316563,15.0769023893887,15.1607466611124,15.2201021551963,15.8142434623424,16.5135868707656,17.4782556176297,18.8627664571803
right curly brace,20.8721008261306,20.1681993779788,19.2094006904495,18.4207996747197,17.5853948986784,16.9542832862957,16.3294746503501,15.6630296848023,15.0213861890485,14.3760921306301,13.7875885431893,13.2377554529923,12.6599562901855,12.1624384424852,11.7002149349697,11.3071835306721,10.9422025081749,10.5918055747161,10.2828297850894,10.0795295454776,9.96380766198313,9.7979441439752,9.72973210776007,9.88184638442349,10.2780649650603,10.8737329409154,11.510016817544,12.332171810732,13.124449380768,13.2963691281881,13.0447080876905,12.1030002886825,11.8976936714266,11.6447103656334,11.6694828826521,11.319233349248,11.2222008968881,10.6861097725174,10.1735068520042,9.70702717565224,9.38336586299234,9.18335124253651,9.08770062637085,9.16702997161953,9.29511318226046,9.45852832396402,9.67352147424292,9.95870224307645,10.308201874501,10.7376639478822,11.0993771538315,11.5731463832728,12.2930995708079,13.1049042459519,13.6203440957454,14.3205747953658,15.1949910486495,16.0202716241379,16.8063762305978,17.3823077826982,17.8807727440254,18.4573182942254,18.8268664776722,18.9407104702499
